Day of Date,Display Sheet,Date,Show data by calc,Confirmed New,Confirmed versus Probable Switcher,Confirmed versus Probable Switcher 1,Confirmed versus Probable Switcher 2,ConProb,Deaths,Grand Total,Log Versus Linear Switcher,New,Onset Confirmed,Onset Probable,Probable NEW,Public Health District 1,Public Health District 2,Public Health District 3,Public Health District 4,Public Health District 5,Public Health District 6,Public Health District 7,Testing Missing,Testing1,Testing2,Testing3,Testing4,Testing5,Testing6,Testing7,Total NEW
"February 23, 2020",Linear,2/23/2020,Daily Trend Total,,,,,,,1,,1693,1,,,,,,,1,,,,,,,,,,,
"February 24, 2020",Linear,2/24/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"February 25, 2020",Linear,2/25/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"February 26, 2020",Linear,2/26/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,1,
"February 27, 2020",Linear,2/27/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,
"February 28, 2020",Linear,2/28/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,
"February 29, 2020",Linear,2/29/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,
"March 1, 2020",Linear,3/1/2020,Daily Trend Total,,,,,,,4,,,4,,,,,,,4,,,,0,1,0,0,0,0,0,
"March 2, 2020",Linear,3/2/2020,Daily Trend Total,,,,,,,4,,,3,1,,,,1,2,1,,,,0,0,3,0,1,0,0,
"March 3, 2020",Linear,3/3/2020,Daily Trend Total,,,,,,,2,,,2,,,,,,1,1,,,,1,1,2,0,0,0,0,
"March 4, 2020",Linear,3/4/2020,Daily Trend Total,,,,,,,2,,,2,,,,,,,2,,,,1,0,1,4,0,0,0,
"March 5, 2020",Linear,3/5/2020,Daily Trend Total,,,,,,,4,,,4,,,,,,2,2,,,,0,0,3,0,0,0,0,
"March 6, 2020",Linear,3/6/2020,Daily Trend Total,,,,,,,9,,,9,,,1,,1,2,4,,1,,0,0,0,3,1,0,0,
"March 7, 2020",Linear,3/7/2020,Daily Trend Total,,,,,,,8,,,8,,,,,,2,6,,,,0,1,1,1,0,0,0,
"March 8, 2020",Linear,3/8/2020,Daily Trend Total,,,,,,,6,,,6,,,,,1,2,2,,1,,2,0,0,1,0,0,0,
"March 9, 2020",Linear,3/9/2020,Daily Trend Total,,,,,,,25,,,25,,,,,3,7,14,,1,,7,1,3,4,3,2,2,
"March 10, 2020",Linear,3/10/2020,Daily Trend Total,,,,,,,25,,,25,,,,1,2,6,15,,1,,9,0,3,7,3,0,0,
"March 11, 2020",Linear,3/11/2020,Daily Trend Total,,,,,,,25,,,25,,,,,,9,16,,,,16,1,0,0,0,3,0,
"March 12, 2020",Linear,3/12/2020,Daily Trend Total,,,,,,,35,,,35,,,,,3,17,13,,2,,31,2,15,37,4,11,3,
"March 13, 2020",Linear,3/13/2020,Daily Trend Total,2,,,,2,,66,,,65,1,0,,,4,12,48,1,1,,67,1,15,34,5,6,8,2
"March 14, 2020",Linear,3/14/2020,Daily Trend Total,3,,,,3,,53,,,53,,0,,,6,16,30,,1,,34,0,13,57,10,12,10,3
"March 15, 2020",Linear,3/15/2020,Daily Trend Total,1,,,,1,,68,,,67,1,0,3,1,3,18,42,1,,,51,1,31,68,11,1,17,1
"March 16, 2020",Linear,3/16/2020,Daily Trend Total,5,,,,5,,74,,,74,,0,,,9,23,41,,1,,187,2,46,109,18,16,18,5
"March 17, 2020",Linear,3/17/2020,Daily Trend Total,3,,,,3,,65,,,65,,0,1,1,12,25,22,1,3,,186,21,39,124,17,26,29,3
"March 18, 2020",Linear,3/18/2020,Daily Trend Total,6,,,,6,,74,,,73,1,0,,1,7,24,40,,2,,148,20,45,79,16,14,15,6
"March 19, 2020",Linear,3/19/2020,Daily Trend Total,11,,,,11,,69,,,68,1,0,1,2,8,24,33,,1,,93,8,55,147,35,15,10,11
"March 20, 2020",Linear,3/20/2020,Daily Trend Total,9,,,,9,,73,,,73,,0,,1,7,26,37,1,1,,34,6,95,230,52,14,23,9
"March 21, 2020",Linear,3/21/2020,Daily Trend Total,7,,,,7,,52,,,49,3,0,,1,1,23,24,,3,,21,8,60,160,32,9,3,7
"March 22, 2020",Linear,3/22/2020,Daily Trend Total,3,,,,3,1,53,,,52,1,0,,2,6,19,23,1,2,,35,2,67,265,49,11,3,3
"March 23, 2020",Linear,3/23/2020,Daily Trend Total,32,,,,32,1,56,,,56,,0,1,3,7,22,22,1,,,133,21,180,430,122,21,21,32
"March 24, 2020",Linear,3/24/2020,Daily Trend Total,22,,,,22,1,49,,,41,8,0,,9,9,15,16,,,,165,19,154,405,162,13,25,22
"March 25, 2020",Linear,3/25/2020,Daily Trend Total,46,,,,46,,73,,,70,3,0,1,9,13,24,22,1,3,,133,16,140,327,87,12,24,46
"March 26, 2020",Linear,3/26/2020,Daily Trend Total,60,,,,60,2,45,,,44,1,0,,2,1,29,13,,,,178,17,114,322,137,12,10,60
"March 27, 2020",Linear,3/27/2020,Daily Trend Total,38,,,,38,3,60,,,58,2,0,,3,8,30,18,,1,,144,31,148,365,136,10,4,38
"March 28, 2020",Linear,3/28/2020,Daily Trend Total,16,,,,16,1,50,,,50,,0,,1,8,26,14,,1,,68,9,91,228,99,7,5,16
"March 29, 2020",Linear,3/29/2020,Daily Trend Total,45,,,,45,3,36,,,35,1,0,,1,4,16,13,,2,,45,11,72,251,72,4,10,45
"March 30, 2020",Linear,3/30/2020,Daily Trend Total,105,,,,105,,55,,,55,,0,,2,6,28,18,,1,,179,30,166,392,150,16,45,105
"March 31, 2020",Linear,3/31/2020,Daily Trend Total,110,,,,110,,46,,,43,3,0,,1,10,19,14,1,1,,133,18,164,368,158,12,31,110
"April 1, 2020",Linear,4/1/2020,Daily Trend Total,144,,,,144,,57,,,50,7,0,,2,9,29,10,,7,,146,27,176,356,177,15,34,144
"April 2, 2020",Linear,4/2/2020,Daily Trend Total,222,,,,222,2,46,,,43,3,0,1,,8,27,7,,3,,134,21,174,428,188,16,28,222
"April 3, 2020",Linear,4/3/2020,Daily Trend Total,122,,,,122,,50,,,45,5,0,,3,12,17,16,,2,,122,29,186,370,160,20,27,122
"April 4, 2020",Linear,4/4/2020,Daily Trend Total,64,,,,64,2,23,,,23,,0,,1,4,12,5,,1,,47,21,93,256,104,8,6,64
"April 5, 2020",Linear,4/5/2020,Daily Trend Total,24,,,,24,3,24,,,22,2,0,,3,4,6,10,1,,,39,14,87,187,89,5,3,24
"April 6, 2020",Linear,4/6/2020,Daily Trend Total,69,,,,69,4,25,,,21,4,0,,3,5,6,10,,1,,123,32,238,401,188,28,57,69
"April 7, 2020",Linear,4/7/2020,Daily Trend Total,40,,,,40,4,24,,,19,5,0,,,3,8,11,1,1,,101,20,172,332,146,16,43,40
"April 8, 2020",Linear,4/8/2020,Daily Trend Total,22,,,,22,2,32,,,21,11,0,,2,1,14,10,1,4,,103,34,187,344,127,8,45,22
"April 9, 2020",Linear,4/9/2020,Daily Trend Total,121,,,,134,2,23,,,18,5,13,,3,4,6,9,,1,,91,19,171,271,101,13,39,134
"April 10, 2020",Linear,4/10/2020,Daily Trend Total,43,,,,58,3,24,,,18,6,15,,1,5,10,8,,,,64,20,153,278,86,19,50,58
"April 11, 2020",Linear,4/11/2020,Daily Trend Total,11,,,,14,3,24,,,21,3,3,,,3,13,6,1,1,,36,8,88,159,46,7,8,14
"April 12, 2020",Linear,4/12/2020,Daily Trend Total,20,,,,21,3,18,,,13,5,1,,1,5,5,7,,,,26,3,64,118,30,1,5,21
"April 13, 2020",Linear,4/13/2020,Daily Trend Total,27,,,,41,1,17,,,14,3,14,,1,4,,12,,,,99,19,149,275,110,28,48,41
"April 14, 2020",Linear,4/14/2020,Daily Trend Total,11,,,,39,1,17,,,17,,28,,,4,10,3,,,,86,20,151,279,89,17,46,39
"April 15, 2020",Linear,4/15/2020,Daily Trend Total,43,,,,49,1,27,,,18,9,6,,,5,11,10,,1,,91,25,160,277,86,22,36,49
"April 16, 2020",Linear,4/16/2020,Daily Trend Total,21,,,,22,1,13,,,10,3,1,,,5,4,3,,1,,106,29,151,266,63,25,39,22
"April 17, 2020",Linear,4/17/2020,Daily Trend Total,38,,,,46,2,26,,,20,6,8,2,1,5,8,9,,1,,100,43,82,274,70,23,34,46
"April 18, 2020",Linear,4/18/2020,Daily Trend Total,11,,,,13,3,20,,,16,4,2,,1,6,5,8,,,,49,15,70,128,35,5,7,13
"April 19, 2020",Linear,4/19/2020,Daily Trend Total,4,,,,4,,19,,,18,1,0,1,,6,3,9,,,,35,6,58,122,35,6,3,4
"April 20, 2020",Linear,4/20/2020,Daily Trend Total,57,,,,64,1,30,,,27,3,7,,3,15,4,7,,1,,98,42,146,268,87,25,47,64
"April 21, 2020",Linear,4/21/2020,Daily Trend Total,21,,,,30,3,16,,,14,2,9,,1,2,4,8,,1,,91,31,128,235,81,36,27,30
"April 22, 2020",Linear,4/22/2020,Daily Trend Total,29,,,,36,1,22,,,19,3,7,,3,5,9,4,,1,,81,26,142,245,94,23,35,36
"April 23, 2020",Linear,4/23/2020,Daily Trend Total,33,,,,34,2,21,,,14,7,1,,1,3,10,5,2,,,97,26,160,276,91,13,21,34
"April 24, 2020",Linear,4/24/2020,Daily Trend Total,29,,,,34,3,12,,,9,3,5,,,2,4,3,1,2,,103,25,160,322,64,24,7,34
"April 25, 2020",Linear,4/25/2020,Daily Trend Total,10,,,,17,1,20,,,13,7,7,,2,2,4,9,,3,,63,10,70,170,39,10,13,17
"April 26, 2020",Linear,4/26/2020,Daily Trend Total,8,,,,10,,25,,,23,2,2,,1,3,6,14,,1,,59,7,74,116,32,5,4,10
"April 27, 2020",Linear,4/27/2020,Daily Trend Total,17,,,,20,2,20,,,14,6,3,,,2,7,10,1,,,107,32,224,335,96,31,18,20
"April 28, 2020",Linear,4/28/2020,Daily Trend Total,25,,,,35,,24,,,21,3,10,,,1,9,13,,1,,77,25,146,288,117,29,19,35
"April 29, 2020",Linear,4/29/2020,Daily Trend Total,21,,,,32,1,11,,,9,2,11,,1,,2,7,,1,,89,50,122,259,98,36,30,32
"April 30, 2020",Linear,4/30/2020,Daily Trend Total,29,,,,31,1,17,,,13,4,2,,,4,4,9,,,,112,31,95,333,98,23,20,31
"May 1, 2020",Linear,5/1/2020,Daily Trend Total,23,,,,20,,28,,,23,5,-3,,,2,11,13,1,1,,121,31,140,266,127,27,18,20
"May 2, 2020",Linear,5/2/2020,Daily Trend Total,25,,,,26,1,18,,,18,,1,1,1,2,2,10,,2,,97,18,61,136,46,10,11,26
"May 3, 2020",Linear,5/3/2020,Daily Trend Total,18,,,,18,,20,,,15,5,0,,1,2,7,9,,1,,56,8,59,88,44,9,7,18
"May 4, 2020",Linear,5/4/2020,Daily Trend Total,21,,,,27,2,20,,,17,3,6,,,1,3,16,,,,103,27,123,280,111,29,15,27
"May 5, 2020",Linear,5/5/2020,Daily Trend Total,13,,,,21,,22,,,19,3,8,,,1,3,16,1,1,,68,31,104,238,117,23,56,21
"May 6, 2020",Linear,5/6/2020,Daily Trend Total,26,,,,31,1,19,,,15,4,5,,,4,4,11,,,,113,26,117,292,94,28,32,31
"May 7, 2020",Linear,5/7/2020,Daily Trend Total,21,,,,20,1,21,,,17,4,-1,,,3,2,13,1,2,,137,29,109,390,94,19,33,20
"May 8, 2020",Linear,5/8/2020,Daily Trend Total,20,,,,27,,30,,,25,5,7,,1,5,7,16,,1,,145,31,78,187,114,21,31,27
"May 9, 2020",Linear,5/9/2020,Daily Trend Total,22,,,,25,1,24,,,19,5,3,,,3,8,12,,1,,177,17,48,136,30,5,17,25
"May 10, 2020",Linear,5/10/2020,Daily Trend Total,17,,,,16,,27,,,25,2,-1,,,4,5,18,,,,50,7,44,96,32,6,7,16
"May 11, 2020",Linear,5/11/2020,Daily Trend Total,7,,,,14,,21,,,17,4,7,,,3,1,15,2,,,121,35,192,355,153,65,68,14
"May 12, 2020",Linear,5/12/2020,Daily Trend Total,26,,,,33,1,21,,,15,6,7,,,,2,18,,1,,139,42,250,499,167,26,21,33
"May 13, 2020",Linear,5/13/2020,Daily Trend Total,27,,,,31,1,23,,,17,6,4,,,3,6,14,,,,172,43,179,284,135,21,24,31
"May 14, 2020",Linear,5/14/2020,Daily Trend Total,26,,,,27,2,17,,,15,2,1,,,2,,15,,,,202,35,206,279,108,27,18,27
"May 15, 2020",Linear,5/15/2020,Daily Trend Total,34,,,,38,1,37,,,33,4,4,,,3,2,31,1,,,176,50,287,300,150,23,9,38
"May 16, 2020",Linear,5/16/2020,Daily Trend Total,17,,,,30,,16,,,15,1,13,,,1,3,10,2,,,117,14,92,145,54,10,9,30
"May 17, 2020",Linear,5/17/2020,Daily Trend Total,16,,,,17,,26,,,20,6,1,,1,5,2,16,1,1,,66,10,64,129,46,8,8,17
"May 18, 2020",Linear,5/18/2020,Daily Trend Total,14,,,,19,,26,,,22,4,5,,,4,1,20,1,,,131,45,190,326,193,29,12,19
"May 19, 2020",Linear,5/19/2020,Daily Trend Total,20,,,,21,1,30,,,27,3,1,,,7,1,20,1,1,,112,32,196,299,326,51,17,21
"May 20, 2020",Linear,5/20/2020,Daily Trend Total,25,,,,30,2,25,,,25,,5,,,2,3,16,2,2,,287,40,164,240,247,16,24,30
"May 21, 2020",Linear,5/21/2020,Daily Trend Total,23,,,,28,3,18,,,17,1,5,,,2,3,8,3,2,,159,47,129,232,170,12,14,28
"May 22, 2020",Linear,5/22/2020,Daily Trend Total,55,,,,61,,24,,,21,3,6,,,4,,14,5,1,,161,52,84,154,142,19,15,61
"May 23, 2020",Linear,5/23/2020,Daily Trend Total,31,,,,31,1,28,,,21,7,0,,,3,,14,6,5,,111,3,69,185,140,8,12,31
"May 24, 2020",Linear,5/24/2020,Daily Trend Total,39,,,,39,1,28,,,26,2,0,,,3,1,16,4,4,,134,9,104,256,87,20,19,39
"May 25, 2020",Linear,5/25/2020,Daily Trend Total,19,,,,19,,37,,,26,11,0,,,8,2,20,2,5,,200,11,225,318,130,22,15,19
